Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
962,Narva,Gulf of Finland,Europe,52193,0.02,939028,6732,2,0,1
644,Corubal,Atlantic,Africa,24304,0.029,645216,6722,2,0,1
810,Aksu,Black Sea,Eurasia,6233,0.039,468331,6685,2,0,1
516,Kahajan,Java Sea,Oceania,15923,0.047,388056,6668,2,0,1
1368,Chancay,Pacific,South America,4047,0.039,471128,6655,2,0,1
743,Mangoro,Indian,Africa,17713,0.013,1360006,6648,2,0,1
1268,Altamaha,Atlantic,North America,37489,0.007,2684809,6548,2,0,1
955,Pregolua,Baltic Sea,Asia,13897,0.017,1070115,6543,2,0,1
60,Yaque del Sur,Caribbean,North America,5202,0.039,452966,6505,2,0,1
796,Wadi el Arish,Mediterranean,Africa,23830,0.092,193993,6503,2,0,1
631,Massa,Atlantic,Africa,5265,0.049,360935,6469,2,0,1
855,Semani,Mediterranean,Europe,6119,0.032,551525,6466,2,0,1
522,Sampara,Banda Sea,Oceania,6875,0.047,368731,6336,2,0,1
717,Lurio,Indian,Africa,61169,0.013,1311160,6304,2,0,1
513,Sampit,Java Sea,Oceania,14542,0.047,365693,6283,2,0,1
1282,Brazos,Gulf of Mexico,North America,109421,0.007,2569820,6268,2,0,1
708,Longa,Atlantic,Africa,22800,0.045,379181,6256,2,0,1
1313,Berbice,Atlantic,South America,15748,0.224,76266,6241,2,0,1
716,Coporolo,Atlantic,Africa,15616,0.045,376543,6212,1,0,1
388,Rushikulya,Bay of Bengal,Asia,7877,0.009,1935029,6190,1,0,1
1341,Portoviejo,Pacific,South America,2066,0.047,356798,6098,1,0,1
787,Keiskama,Indian,Africa,2706,0.134,123942,6053,1,0,1
686,Ntem,Gulf of Guinea,Africa,30825,0.037,445438,6051,1,0,1
1096,Silup,Gulf of Oman,Eurasia,20629,0.075,220315,5997,1,0,1
801,Litani,Mediterranean,Eurasia,2171,0.035,466251,5995,1,0,1
1258,Peedee,Atlantic,North America,40950,0.007,2454121,5986,1,0,1
699,Ruvu,Indian,Africa,17540,0.02,823899,5985,1,0,1
